min_cluster_size,min_samples,num_clusters,num_outliers,proportion_outliers,dbcv_score,dbcv_sample_size,dbcv_scored_users,dbcv_error
1000,20,2,0,0.0,0.6774894083552608,30000,30000,
1000,30,2,0,0.0,0.6774894083552608,30000,30000,
1000,50,2,0,0.0,0.6774894083552608,30000,30000,
1000,100,2,0,0.0,0.6774894083552608,30000,30000,
1000,200,2,0,0.0,0.6774894083552608,30000,30000,
1000,300,2,0,0.0,0.6774894083552608,30000,30000,
1000,500,2,0,0.0,0.6774894083552608,30000,30000,
1000,1000,2,0,0.0,0.6774894083552608,30000,30000,
2000,2000,3,35818,0.3197322026333408,0.24079236223795944,30000,30000,
2000,1000,7,48445,0.4324481142602098,0.2296378125833586,30000,30000,
2000,100,13,40193,0.35878598527114486,0.1752246171502774,30000,30000,
2000,200,3,10136,0.09047980361526445,0.12336705916747925,30000,30000,
2000,500,9,43312,0.38662798482481586,0.10798643121061287,30000,30000,
2000,30,12,41598,0.37132782860968533,0.05879263777801379,30000,30000,
2000,50,11,23946,0.21375585806739567,-0.061545168409239175,30000,30000,
