min_cluster_size,min_samples,num_clusters,num_outliers,proportion_outliers,dbcv_score,dbcv_sample_size,dbcv_scored_users,mean_cluster_persistence,dbcv_error
2000,1000,2,9854,0.11854436090225563,0.33697419448722776,30000,30000,,
1000,1000,4,6790,0.08168421052631579,0.33151017104980907,30000,30000,,
1000,500,4,4100,0.04932330827067669,0.23429003664014716,30000,30000,,
2000,500,3,5173,0.06223157894736842,0.22665225565509017,30000,30000,,
1000,300,4,3269,0.03932631578947368,0.1470509950816331,30000,30000,,
2000,2000,2,40392,0.4859187969924812,0.13708717025812953,30000,30000,,
1000,200,4,3067,0.03689624060150376,0.06383996843747108,30000,30000,,
1000,100,4,3106,0.03736541353383459,0.06079820072205549,30000,30000,,
2000,200,3,4140,0.04980451127819549,0.05641918928738242,30000,30000,,
2000,100,3,4179,0.05027368421052632,0.05337742157196682,30000,30000,,
1000,50,4,2794,0.03361203007518797,-0.15608232964855756,30000,30000,,
1000,30,4,2687,0.03232481203007519,-0.1564183951324578,30000,30000,,
2000,50,3,3867,0.0465203007518797,-0.1635031087986462,30000,30000,,
2000,30,3,3760,0.04523308270676692,-0.1638391742825465,30000,30000,,
